Iteration,y,yhat
0,0.00125126,0.622459
1,0.53422,0.618341
2,0.192103,0.618266
3,0.723418,0.616319
4,0.552207,0.616196
5,0.461667,0.616152
6,0.343172,0.615895
7,0.780811,0.615096
8,0.73308,0.614801
9,0.679151,0.61465
10,0.17323,0.614605
11,0.757153,0.612507
12,0.652214,0.612281
13,0.491259,0.612264
14,0.299334,0.612106
15,0.014984,0.611049
16,0.0912757,0.607201
17,0.356437,0.604304
18,0.146781,0.603634
19,0.165139,0.601353
20,0.835216,0.599268
21,0.431083,0.598657
22,0.118802,0.598348
23,0.00466932,0.595818
24,0.00891129,0.591958
25,0.368951,0.588186
26,0.506967,0.587651
27,0.540629,0.587578
28,0.566097,0.587554
29,0.570542,0.587549
30,0.16547,0.587545
31,0.61552,0.585559
32,0.435676,0.585549
33,0.344891,0.585298
34,0.0570082,0.584653
35,0.570968,0.581536
36,0.705635,0.581535
37,0.719169,0.581362
38,0.496778,0.581149
39,0.297383,0.581069
40,0.768167,0.580165
41,0.664389,0.579768
42,0.816834,0.579687
43,0.799053,0.579055
44,0.513581,0.57851
45,0.141858,0.578462
46,0.445812,0.576314
47,0.233162,0.576121
48,0.759302,0.574792
49,0.20807,0.574407
50,0.703035,0.572887
51,0.747077,0.572695
52,0.839735,0.572351
53,0.841306,0.571539
54,0.574096,0.570713
55,0.382442,0.570713
56,0.26308,0.57031
57,0.292921,0.569236
58,0.744739,0.568366
59,0.0237412,0.568012
60,0.367078,0.564629
61,0.0924913,0.564183
62,0.626618,0.561632
63,0.0561855,0.561583
64,0.00878922,0.558646
65,0.794868,0.555157
